age,gender,district,monthly_income,ridehailing_app,p_pickmepreference,p_pickmepurpose,p_pickmefrequency,p_pickmevehicle,p_pickmetime,p_pickmepayment,p_pickmepass,u_uberpreference,u_uberpurpose,u_uberfrequency,u_ubervehicle,u_ubertime,u_uberpayment,u_uberone,b_preference,b_switchingfrequency,b_purpose,b_frequency,b_time,b_pickmevehicle,b_ubervehicle,b_paymentmethod,b_pickmepass,b_uberone,Cluster,cluster_label
26-35,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, geographic coverage differences",often,"comfort and convenience, special occasions, emergencies",weekly,"late night (10 pm - 3 am), office hours (7 am - 10 am & 4 pm - 7 pm)","tuk, car","tuk, zip",card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",rarely,school or education,weekly,don't have a specific time,"tuk, car",tuk,card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,don't have a specific time,"tuk, bike, car, van","tuk, zip, van",card,yes,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, specific features (e.g., uberxl, pickme tuk-tuks)",often,"comfort and convenience, lack of public transport options, commuting to work, healthcare appointments, special occasions, emergencies",weekly,don't have a specific time,"tuk, car, flex","tuk, minivan, van",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,emergencies,occasionally,don't have a specific time,"tuk, bike, car, minivan",zip,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",often,"comfort and convenience, commuting to work, shopping errands, weather, emergencies",daily,"evening (4 pm - 7 pm), late night (10 pm - 3 am), morning (7 am - 10 am)","tuk, car","tuk, zip",card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, geographic coverage differences, urgency or convenience",rarely,"comfort and convenience, lack of public transport options, commuting to work, weather, group travel, special occasions, emergencies",monthly,don't have a specific time,"tuk, flex, minivan","tuk, minivan",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,special occasions,occasionally,don't have a specific time,"tuk, bike",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,driver quality differences,always,comfort and convenience,occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,emergencies,occasionally,don't have a specific time,"tuk, bike, car","tuk, moto",cash,yes,yes,0,Flexible Weekly Dual-App Users
36-45,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,comfort and convenience,weekly,office hours (7 am - 10 am & 4 pm - 7 pm),tuk,tuk,cash,yes,yes,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,comfort and convenience,occasionally,don't have a specific time,car,van,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,"comfort and convenience, shopping errands",occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,better driver availability,rarely,emergencies,occasionally,don't have a specific time,tuk,tuk,cash,yes,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, urgency or convenience",rarely,"comfort and convenience, healthcare appointments, weather, special occasions, emergencies",weekly,don't have a specific time,"tuk, car","tuk, zip",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"lack of public transport options, weather, special occasions",weekly,don't have a specific time,tuk,"tuk, sedan",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,"lack of public transport options, commuting to work, special occasions, emergencies",daily,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car","tuk, sedan",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,rarely,comfort and convenience,monthly,don't have a specific time,"tuk, car",tuk,both cash & card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,never,comfort and convenience,occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
46-55,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,driver quality differences,rarely,comfort and convenience,monthly,don't have a specific time,tuk,tuk,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,"comfort and convenience, healthcare appointments, weather, special occasions",monthly,"evening (4 pm - 7 pm), morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm)",tuk,tuk,cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"less than lkr 50,000",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface, affordable fares","social or leisure activities, commuting to work, weather, emergencies",weekly,"tuk, bike",office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",often,"comfort and convenience, commuting to work, healthcare appointments, weather, group travel, special occasions, emergencies",monthly,don't have a specific time,"tuk, bike",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,comfort and convenience,weekly,tuk,evening (4 pm - 7 pm),card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,female,colombo,prefer not to say,pickme only,i’ve had bad experiences with uber,"comfort and convenience, lack of public transport options, social or leisure activities, commuting to work, shopping errands, healthcare appointments, weather, group travel, special occasions, emergencies",weekly,"tuk, car, flex",don't have a specific time,both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, when one app has service downtime, urgency or convenience",often,"comfort and convenience, lack of public transport options",monthly,don't have a specific time,"tuk, bike, car, flex","tuk, zip, minivan",both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,affordable fares,emergencies,occasionally,"tuk, bike",office hours (7 am - 10 am & 4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,female,colombo,"lkr 50,000 – 99,999",pickme only,pickme has shorter wait times,weather,monthly,tuk,evening (4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 150,000 – 199,999",pickme only,"better availability in my area, easier-to-use app interface, sri lankan app","lack of public transport options, commuting to work, emergencies",weekly,"tuk, bike",don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"less than lkr 50,000",pickme only,"i’ve had bad experiences with uber, better availability in my area, affordable fares","comfort and convenience, lack of public transport options",occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
46-55,male,colombo,"lkr 100,000 – 149,999",uber only,,,,,,,,"better availability in my area, affordable fares, good driver behavior","commuting to work, weather",monthly,"tuk, minivan",evening (4 pm - 7 pm),card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,"pickme has shorter wait times, easier-to-use app interface, reliable service","comfort and convenience, commuting to work, group travel",monthly,"tuk, bike",school hours (6 am- 7 am & 1 pm - 3 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
46-55,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, driver quality differences",often,"comfort and convenience, lack of public transport options, commuting to work",daily,"evening (4 pm - 7 pm), late night (10 pm - 3 am)","bike, car","tuk, minivan",cash,no,no,0,Flexible Weekly Dual-App Users
36-45,male,colombo,"lkr 100,000 – 149,999",pickme only,"i’ve had bad experiences with uber, easier-to-use app interface",commuting to work,weekly,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,male,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,rarely,"comfort and convenience, social or leisure activities, healthcare appointments, weather, emergencies",monthly,"morning (7 am - 10 am), late night (10 pm - 3 am), school hours (6 am- 7 am & 1 pm - 3 pm)","tuk, car","tuk, zip",cash,no,no,0,Flexible Weekly Dual-App Users
26-35,female,colombo,"less than lkr 50,000",pickme only,"i’ve had bad experiences with uber, pickme has shorter wait times, reliable service","comfort and convenience, special occasions",occasionally,"tuk, car, mini","office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
26-35,male,colombo,"lkr 100,000 – 149,999",pickme only,"pickme has shorter wait times, affordable fares, reliable service",lack of public transport options,occasionally,"tuk, bike",morning (7 am - 10 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
46-55,male,colombo,"lkr 200,000 – 299,999",uber only,,,,,,,,"better availability in my area, affordable fares","comfort and convenience, special occasions",monthly,"tuk, zip","evening (4 pm - 7 pm), late night (10 pm - 3 am)",card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,male,colombo,prefer not to say,uber only,,,,,,,,"i’ve had bad experiences with pickme, uber offers shorter wait times, better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares, reliable service, good driver behavior",comfort and convenience,weekly,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
36-45,male,colombo,"lkr 150,000 – 199,999",pickme only,"i’ve had bad experiences with uber, affordable fares, good driver behavior","comfort and convenience, commuting to work, weather",monthly,tuk,"evening (4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,good driver behavior,emergencies,weekly,tuk,office hours (7 am - 10 am & 4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",uber only,,,,,,,,"i’ve had bad experiences with pickme, uber offers shorter wait times, affordable fares","comfort and convenience, social or leisure activities, weather, group travel, special occasions, emergencies",monthly,"tuk, van, moto","evening (4 pm - 7 pm), late night (10 pm - 3 am)",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
18-25,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",rarely,comfort and convenience,daily,"evening (4 pm - 7 pm), late night (10 pm - 3 am)",tuk,tuk,card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 300,000 or more",uber only,,,,,,,,easier-to-use app interface,"comfort and convenience, emergencies",occasionally,"tuk, zip",office hours (7 am - 10 am & 4 pm - 7 pm),both cash & card,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
26-35,female,colombo,"lkr 150,000 – 199,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",often,"comfort and convenience, commuting to work, weather, special occasions",daily,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, flex",tuk,card,yes,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, geographic coverage differences, specific features (e.g., uberxl, pickme tuk-tuks), urgency or convenience",always,special occasions,weekly,"evening (4 pm - 7 pm), late night (10 pm - 3 am)","tuk, flex","tuk, zip",both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",rarely,"comfort and convenience, social or leisure activities, emergencies",weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)",tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"to compare prices, urgency or convenience",always,"comfort and convenience, lack of public transport options, social or leisure activities, school or education, emergencies",daily,"office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)","tuk, bike","tuk, moto",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,special occasions,occasionally,school hours (6 am- 7 am & 1 pm - 3 pm),flex,zip,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,"comfort and convenience, lack of public transport options, shopping errands, school or education, special occasions, emergencies",weekly,don't have a specific time,"tuk, car","tuk, zip",card,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,prefer not to say,pickme only,better availability in my area,comfort and convenience,occasionally,tuk,don't have a specific time,both cash & card,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,"specific features (e.g., uberxl, pickme tuk-tuks)",often,shopping errands,occasionally,evening (4 pm - 7 pm),tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,geographic coverage differences,often,comfort and convenience,weekly,late night (10 pm - 3 am),"tuk, car, flex","tuk, zip",both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"better driver availability, specific features (e.g., uberxl, pickme tuk-tuks)",rarely,"comfort and convenience, emergencies",occasionally,don't have a specific time,"tuk, car",tuk,both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,"comfort and convenience, lack of public transport options",daily,evening (4 pm - 7 pm),tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"less than lkr 50,000",pickme only,"pickme has shorter wait times, better availability in my area, good driver behavior","lack of public transport options, special occasions, emergencies",occasionally,"tuk, bike, car, flex",don't have a specific time,cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,prefer not to say,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",always,"comfort and convenience, social or leisure activities, commuting to work, school or education, healthcare appointments, group travel",weekly,don't have a specific time,"tuk, car","tuk, zip",card,no,no,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,daily,morning (7 am - 10 am),tuk,tuk,cash,no,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,"comfort and convenience, lack of public transport options, group travel",daily,tuk,evening (4 pm - 7 pm),cash,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",always,"comfort and convenience, commuting to work, emergencies",occasionally,don't have a specific time,bike,moto,both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,"lkr 150,000 – 199,999",pickme only,"reliable service, good driver behavior, transparency",special occasions,occasionally,tuk,late night (10 pm - 3 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,better driver availability,always,group travel,daily,office hours (7 am - 10 am & 4 pm - 7 pm),bike,tuk,cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, specific features (e.g., uberxl, pickme tuk-tuks), driver quality differences, urgency or convenience",always,"comfort and convenience, lack of public transport options, school or education, weather, group travel, special occasions, emergencies",daily,"morning (7 am - 10 am), evening (4 pm - 7 pm)","tuk, bike, car","tuk, zip",cash,no,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
26-35,male,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",often,"comfort and convenience, lack of public transport options, commuting to work, emergencies",weekly,evening (4 pm - 7 pm),tuk,tuk,cash,no,yes,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",pickme only,easier-to-use app interface,comfort and convenience,weekly,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,"easier-to-use app interface, more frequent promotions or discounts, affordable fares","comfort and convenience, weather, special occasions, emergencies",weekly,"tuk, car",don't have a specific time,both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
36-45,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,comfort and convenience,daily,don't have a specific time,"tuk, car","tuk, zip",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, urgency or convenience",often,"comfort and convenience, lack of public transport options, weather, special occasions, emergencies",weekly,office hours (7 am - 10 am & 4 pm - 7 pm),"tuk, car","tuk, van",cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,"lkr 100,000 – 149,999",pickme only,"better availability in my area, easier-to-use app interface","comfort and convenience, school or education, weather",occasionally,"tuk, car","morning (7 am - 10 am), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,"comfort and convenience, lack of public transport options",weekly,don't have a specific time,"tuk, car",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 300,000 or more",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, geographic coverage differences",always,"comfort and convenience, lack of public transport options",weekly,don't have a specific time,"tuk, car","tuk, zip",both cash & card,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,when one app has service downtime,rarely,weather,occasionally,don't have a specific time,tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,to compare prices,always,social or leisure activities,monthly,office hours (7 am - 10 am & 4 pm - 7 pm),flex,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 50,000 – 99,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability",always,comfort and convenience,weekly,don't have a specific time,tuk,tuk,cash,yes,yes,3,Loyal Female Dominant Daily Riders with Subscriptions
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,"when one app has service downtime, urgency or convenience",always,"comfort and convenience, social or leisure activities, shopping errands, healthcare appointments, weather",weekly,"morning (7 am - 10 am), office hours (7 am - 10 am & 4 pm - 7 pm), late night (10 pm - 3 am)",tuk,tuk,card,no,no,0,Flexible Weekly Dual-App Users
18-25,male,colombo,"lkr 100,000 – 149,999",pickme only,"pickme has shorter wait times, better availability in my area, easier-to-use app interface",school or education,daily,tuk,late night (10 pm - 3 am),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,male,colombo,"lkr 100,000 – 149,999",both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,often,comfort and convenience,weekly,don't have a specific time,"tuk, bike","tuk, moto",cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,urgency or convenience,always,comfort and convenience,weekly,"office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)","tuk, car",tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 200,000 – 299,999",both pickme & uber,,,,,,,,,,,,,,,"to compare prices, better driver availability, when one app has service downtime, urgency or convenience",often,"comfort and convenience, social or leisure activities, commuting to work, shopping errands, school or education, healthcare appointments, weather, group travel, special occasions, emergencies",daily,don't have a specific time,"tuk, car",tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"less than lkr 50,000",both pickme & uber,,,,,,,,,,,,,,,to compare prices,often,comfort and convenience,occasionally,don't have a specific time,tuk,tuk,both cash & card,no,no,0,Flexible Weekly Dual-App Users
26-35,male,colombo,prefer not to say,both pickme & uber,,,,,,,,,,,,,,,better driver availability,often,commuting to work,occasionally,"morning (7 am - 10 am), school hours (6 am- 7 am & 1 pm - 3 pm)",tuk,tuk,cash,no,no,0,Flexible Weekly Dual-App Users
18-25,female,colombo,"lkr 100,000 – 149,999",pickme only,"easier-to-use app interface, affordable fares, reliable service","comfort and convenience, school or education, healthcare appointments, special occasions",monthly,"tuk, mini","office hours (7 am - 10 am & 4 pm - 7 pm), evening (4 pm - 7 pm)",cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"lkr 50,000 – 99,999",pickme only,better availability in my area,emergencies,weekly,"tuk, car",evening (4 pm - 7 pm),both cash & card,yes,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,more frequent promotions or discounts,school or education,occasionally,tuk,don't have a specific time,cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",pickme only,better availability in my area,lack of public transport options,monthly,tuk,evening (4 pm - 7 pm),cash,no,,,,,,,,,,,,,,,,,,1,"PickMe-Focused, Low-Frequency Cash Users"
18-25,female,colombo,"less than lkr 50,000",uber only,,,,,,,,"better availability in my area, easier-to-use app interface, more frequent promotions or discounts, affordable fares, reliable service, transparancy",lack of public transport options,daily,"tuk, zip","morning (7 am - 10 am), don't have a specific time",cash,no,,,,,,,,,,,2,Occasional Price Sensitive Uber Users
